player,nationality,position,team,comp_level,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,Season,minutes_90s,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,29.0,29.0,2507.0,3.0,2.0,1.0,1.0,0.0,0.0,0.11,0.07,0.18,0.07,0.14,2.1,1.3,0.08,0.05,2019-2020,27.9,5.0,3.0,19.2,0.18,0.08,0.4,0.05,0.9,0.7,1241.0,1595.0,77.8,19052.0,8208.0,668.0,758.0,88.1,470.0,590.0,79.7,73.0,163.0,44.8,32.0,89.0,23.0,3.0,143.0,1202.0,386.0,61.0,2.0,4.0,92.0,45.0,30.0,7.0,4.0,280.0,7.0,20.0,64.0,2.3,34.0,23.0,2.0,1.0,5.0,0.18,3.0,1.0,0.0,0.0,0.0,43.0,23.0,31.0,10.0,2.0,31.0,9.0,22.0,45.0,52.0,1.0,1870.0,89.0,529.0,848.0,515.0,41.0,1869.0,830.0,60.0,41.0,10.0,994.0,31.0,15.0,0.0,9.0,8.0,2.0,0.0,0.0,1.0,176.0,16.0,16.0,50.0
Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36.0,36.0,3240.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.03,0.03,0.0,0.03,0.6,0.6,0.02,0.02,2019-2020,36.0,4.0,0.0,28.6,0.11,0.0,0.0,0.04,-0.6,-0.6,1332.0,1711.0,77.8,17879.0,5691.0,880.0,982.0,89.6,351.0,469.0,74.8,49.0,121.0,40.5,23.0,55.0,28.0,12.0,78.0,1389.0,322.0,23.0,0.0,4.0,73.0,0.0,0.0,0.0,0.0,299.0,0.0,65.0,64.0,1.78,47.0,2.0,3.0,4.0,3.0,0.08,2.0,0.0,0.0,1.0,0.0,48.0,30.0,33.0,9.0,6.0,46.0,29.0,17.0,37.0,97.0,1.0,2144.0,159.0,763.0,868.0,536.0,43.0,2144.0,1259.0,92.0,61.0,21.0,1253.0,54.0,31.0,0.0,29.0,49.0,3.0,1.0,0.0,0.0,178.0,22.0,49.0,31.0
Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28.0,28.0,2520.0,3.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.11,0.11,1.7,1.7,0.06,0.06,2019-2020,28.0,5.0,0.0,26.3,0.18,0.16,0.6,0.09,1.3,1.3,1323.0,1570.0,84.3,27406.0,10308.0,370.0,420.0,88.1,762.0,854.0,89.2,185.0,269.0,68.8,5.0,53.0,1.0,0.0,96.0,1491.0,75.0,72.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,10.0,23.0,0.82,16.0,0.0,4.0,2.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,46.0,33.0,29.0,15.0,2.0,26.0,14.0,12.0,47.0,99.0,1.0,1854.0,194.0,1052.0,768.0,51.0,29.0,1854.0,1031.0,21.0,12.0,0.0,1216.0,15.0,5.0,0.0,21.0,17.0,0.0,0.0,1.0,0.0,140.0,85.0,51.0,62.5
Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,de Bundesliga,22,1996,6.0,1.0,157.0,1.0,0.0,0.0,0.0,1.0,0.0,0.57,0.0,0.57,0.57,0.57,1.1,1.1,0.65,0.65,2019-2020,1.7,3.0,0.0,50.0,1.72,0.17,0.33,0.19,-0.1,-0.1,19.0,42.0,45.2,279.0,99.0,11.0,20.0,55.0,7.0,14.0,50.0,1.0,4.0,25.0,1.0,2.0,2.0,1.0,3.0,42.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,2.29,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,63.0,1.0,8.0,24.0,33.0,7.0,63.0,29.0,2.0,2.0,1.0,36.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,6.0,11.0,35.3
Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,25.0,20.0,1817.0,1.0,2.0,0.0,0.0,5.0,0.0,0.05,0.1,0.15,0.05,0.15,1.5,1.5,0.07,0.07,2019-2020,20.2,7.0,3.0,21.2,0.35,0.03,0.14,0.04,-0.5,-0.5,792.0,967.0,81.9,12997.0,3634.0,392.0,426.0,92.0,313.0,354.0,88.4,59.0,128.0,46.1,27.0,80.0,6.0,2.0,104.0,870.0,93.0,38.0,1.0,10.0,63.0,50.0,24.0,15.0,1.0,5.0,4.0,15.0,53.0,2.63,30.0,16.0,3.0,1.0,4.0,0.2,2.0,1.0,1.0,0.0,0.0,55.0,29.0,18.0,32.0,5.0,16.0,3.0,13.0,23.0,8.0,1.0,1159.0,14.0,163.0,766.0,249.0,17.0,1159.0,650.0,25.0,24.0,3.0,754.0,24.0,21.0,0.0,55.0,43.0,1.0,0.0,1.0,0.0,153.0,13.0,17.0,43.3
Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,15.0,6.0,623.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.05,0.05,2019-2020,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.07,-0.3,-0.3,75.0,132.0,56.8,932.0,234.0,46.0,75.0,61.3,16.0,29.0,55.2,4.0,6.0,66.7,7.0,3.0,4.0,1.0,10.0,121.0,11.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,18.0,2.6,11.0,0.0,1.0,4.0,2.0,0.29,1.0,0.0,0.0,1.0,0.0,9.0,9.0,2.0,5.0,2.0,2.0,0.0,2.0,4.0,4.0,0.0,195.0,7.0,14.0,100.0,86.0,20.0,195.0,108.0,12.0,4.0,5.0,144.0,26.0,7.0,0.0,16.0,11.0,7.0,1.0,0.0,0.0,22.0,28.0,34.0,45.2
David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,20.0,19.0,1688.0,2.0,0.0,0.0,0.0,2.0,1.0,0.11,0.0,0.11,0.11,0.11,1.6,1.6,0.08,0.08,2019-2020,18.8,4.0,0.0,57.1,0.21,0.29,0.5,0.22,0.4,0.4,738.0,911.0,81.0,14808.0,5563.0,249.0,287.0,86.8,379.0,445.0,85.2,105.0,156.0,67.3,2.0,66.0,8.0,2.0,99.0,857.0,52.0,22.0,0.0,12.0,9.0,0.0,0.0,0.0,0.0,30.0,2.0,5.0,13.0,0.69,12.0,0.0,1.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,21.0,14.0,16.0,4.0,1.0,27.0,11.0,16.0,25.0,61.0,1.0,1075.0,93.0,456.0,550.0,76.0,10.0,1075.0,561.0,18.0,16.0,1.0,610.0,6.0,3.0,0.0,14.0,12.0,0.0,0.0,0.0,0.0,125.0,48.0,30.0,61.5
Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,34.0,25.0,2215.0,15.0,3.0,0.0,0.0,2.0,0.0,0.61,0.12,0.73,0.61,0.73,16.4,16.4,0.67,0.67,2019-2020,24.6,35.0,0.0,39.8,1.42,0.17,0.43,0.19,-1.4,-1.4,275.0,418.0,65.8,3513.0,697.0,161.0,221.0,72.9,63.0,86.0,73.3,13.0,21.0,61.9,21.0,17.0,7.0,1.0,34.0,367.0,51.0,0.0,2.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,57.0,2.32,37.0,0.0,10.0,2.0,9.0,0.37,4.0,0.0,2.0,1.0,0.0,8.0,4.0,2.0,5.0,1.0,20.0,2.0,18.0,6.0,27.0,0.0,722.0,30.0,60.0,337.0,334.0,146.0,722.0,333.0,31.0,17.0,10.0,479.0,74.0,42.0,0.0,17.0,24.0,23.0,1.0,0.0,1.0,49.0,89.0,113.0,44.1
Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,13.0,8.0,663.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.07,0.07,2019-2020,7.4,2.0,0.0,50.0,0.27,0.0,0.0,0.12,-0.5,-0.5,280.0,330.0,84.8,4029.0,919.0,162.0,178.0,91.0,101.0,112.0,90.2,10.0,18.0,55.6,4.0,24.0,4.0,3.0,27.0,317.0,13.0,9.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,10.0,1.35,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8.0,7.0,8.0,1.0,18.0,3.0,15.0,7.0,16.0,2.0,425.0,24.0,137.0,232.0,58.0,4.0,425.0,236.0,8.0,4.0,0.0,250.0,18.0,3.0,0.0,17.0,12.0,0.0,0.0,0.0,0.0,51.0,9.0,9.0,50.0
Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,36.0,36.0,3162.0,2.0,2.0,0.0,0.0,4.0,0.0,0.06,0.06,0.11,0.06,0.11,2.4,2.4,0.07,0.07,2019-2020,35.1,5.0,0.0,31.3,0.14,0.13,0.4,0.15,-0.4,-0.4,1844.0,2073.0,89.0,38047.0,14343.0,636.0,686.0,92.7,903.0,970.0,93.1,279.0,371.0,75.2,8.0,149.0,15.0,5.0,150.0,1979.0,93.0,69.0,3.0,38.0,26.0,1.0,0.0,0.0,0.0,23.0,1.0,12.0,37.0,1.05,34.0,0.0,2.0,1.0,5.0,0.14,5.0,0.0,0.0,0.0,0.0,59.0,29.0,42.0,12.0,5.0,40.0,27.0,13.0,42.0,109.0,1.0,2387.0,300.0,1093.0,1125.0,184.0,30.0,2387.0,1391.0,57.0,22.0,0.0,1599.0,12.0,7.0,0.0,26.0,41.0,5.0,1.0,0.0,0.0,179.0,56.0,32.0,63.6
Che Adams,sct SCO,FW,Southampton,eng Premier League,23,1996,30.0,12.0,1111.0,4.0,2.0,0.0,0.0,0.0,0.0,0.32,0.16,0.49,0.32,0.49,5.3,5.3,0.43,0.43,2019-2020,12.3,9.0,0.0,25.0,0.73,0.11,0.44,0.15,-1.3,-1.3,162.0,263.0,61.6,2292.0,522.0,97.0,124.0,78.2,44.0,73.0,60.3,9.0,19.0,47.4,13.0,9.0,3.0,0.0,16.0,261.0,0.0,0.0,4.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,29.0,2.35,18.0,0.0,3.0,3.0,6.0,0.49,3.0,0.0,0.0,2.0,0.0,6.0,4.0,1.0,5.0,0.0,9.0,1.0,8.0,2.0,10.0,0.0,418.0,11.0,29.0,181.0,214.0,60.0,418.0,232.0,20.0,16.0,10.0,298.0,40.0,21.0,0.0,17.0,16.0,10.0,1.0,0.0,0.0,51.0,41.0,75.0,35.3
Tyler Adams,us USA,"MF,DF",RB Leipzig,de Bundesliga,20,1999,14.0,10.0,953.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.04,0.04,2019-2020,10.6,1.0,0.0,14.3,0.09,0.0,0.0,0.06,-0.4,-0.4,584.0,703.0,83.1,8760.0,2384.0,309.0,349.0,88.5,214.0,245.0,87.3,26.0,45.0,57.8,7.0,35.0,10.0,3.0,34.0,626.0,77.0,21.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,56.0,0.0,14.0,19.0,1.79,14.0,1.0,2.0,2.0,2.0,0.19,1.0,0.0,0.0,1.0,0.0,22.0,15.0,13.0,8.0,1.0,16.0,1.0,15.0,14.0,14.0,0.0,813.0,19.0,190.0,452.0,172.0,11.0,813.0,430.0,11.0,9.0,2.0,548.0,7.0,9.0,0.0,9.0,16.0,0.0,0.0,0.0,0.0,58.0,14.0,14.0,50.0
Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,26,1993,15.0,6.0,746.0,5.0,1.0,0.0,0.0,1.0,0.0,0.6,0.12,0.72,0.6,0.72,5.9,5.9,0.71,0.71,2019-2020,8.3,11.0,0.0,52.4,1.33,0.24,0.45,0.28,-0.9,-0.9,128.0,180.0,71.1,1677.0,351.0,84.0,105.0,80.0,33.0,41.0,80.5,4.0,7.0,57.1,6.0,6.0,5.0,2.0,16.0,169.0,10.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,7.0,1.0,11.0,21.0,2.53,18.0,0.0,1.0,2.0,5.0,0.6,4.0,0.0,0.0,1.0,0.0,11.0,7.0,3.0,6.0,2.0,8.0,1.0,7.0,2.0,4.0,0.0,287.0,6.0,25.0,119.0,147.0,41.0,287.0,178.0,19.0,9.0,7.0,200.0,28.0,19.0,0.0,12.0,7.0,7.0,1.0,0.0,0.0,32.0,12.0,34.0,26.1
Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,32,1987,1.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-2020,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,66.7,100.0,84.0,2.0,2.0,100.0,1.0,1.0,100.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,6.0,1.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bobby Adekanye,nl NED,FW,Lazio,it Serie A,20,1999,11.0,0.0,188.0,1.0,0.0,0.0,0.0,1.0,0.0,0.48,0.0,0.48,0.48,0.48,1.4,1.4,0.65,0.65,2019-2020,2.1,4.0,0.0,80.0,1.91,0.2,0.25,0.27,-0.4,-0.4,38.0,43.0,88.4,500.0,64.0,20.0,24.0,83.3,12.0,12.0,100.0,2.0,2.0,100.0,3.0,0.0,1.0,1.0,2.0,42.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,3.35,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,62.0,1.0,6.0,31.0,26.0,10.0,62.0,43.0,6.0,2.0,5.0,49.0,3.0,6.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,6.0,1.0,4.0,20.0
Claud Adjapong,it ITA,DF,Hellas Verona,it Serie A,21,1998,5.0,2.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.09,0.09,2019-2020,2.6,1.0,0.0,33.3,0.39,0.0,0.0,0.08,-0.2,-0.2,58.0,83.0,69.9,852.0,314.0,35.0,42.0,83.3,16.0,25.0,64.0,3.0,7.0,42.9,0.0,3.0,0.0,0.0,5.0,69.0,14.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,1.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,4.0,1.0,0.0,4.0,3.0,1.0,3.0,7.0,0.0,110.0,15.0,34.0,40.0,36.0,6.0,110.0,54.0,4.0,4.0,0.0,61.0,4.0,2.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,11.0,3.0,4.0,42.9
Amine Adli,fr FRA,"MF,FW",Toulouse,fr Ligue 1,19,2000,4.0,0.0,46.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-2020,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,26.0,76.9,297.0,105.0,11.0,12.0,91.7,6.0,7.0,85.7,2.0,6.0,33.3,2.0,3.0,1.0,0.0,3.0,22.0,4.0,1.0,0.0,0.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,5.87,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31.0,0.0,3.0,16.0,13.0,1.0,31.0,23.0,4.0,1.0,0.0,22.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,50.0
Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,19,2000,21.0,11.0,1020.0,3.0,3.0,0.0,0.0,3.0,0.0,0.26,0.26,0.53,0.26,0.53,0.8,0.8,0.07,0.07,2019-2020,11.3,6.0,1.0,35.3,0.53,0.18,0.5,0.04,2.2,2.2,448.0,571.0,78.5,7437.0,1845.0,225.0,256.0,87.9,165.0,202.0,81.7,44.0,76.0,57.9,19.0,51.0,5.0,0.0,65.0,530.0,38.0,17.0,6.0,2.0,39.0,19.0,12.0,6.0,0.0,2.0,3.0,8.0,45.0,3.97,29.0,5.0,2.0,2.0,7.0,0.62,3.0,1.0,1.0,0.0,0.0,22.0,14.0,4.0,15.0,3.0,10.0,0.0,10.0,8.0,3.0,0.0,704.0,10.0,70.0,457.0,186.0,11.0,704.0,485.0,38.0,31.0,3.0,537.0,27.0,24.0,0.0,13.0,18.0,0.0,0.0,0.0,0.0,57.0,10.0,13.0,43.5
Adrián,es ESP,GK,Liverpool,eng Premier League,32,1987,11.0,9.0,875.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-2020,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,311.0,76.5,6251.0,4149.0,48.0,48.0,100.0,112.0,113.0,99.1,78.0,148.0,52.7,0.0,3.0,0.0,0.0,0.0,217.0,94.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.21,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,331.0,298.0,331.0,0.0,0.0,0.0,331.0,193.0,0.0,1.0,1.0,152.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,100.0
Aritz Aduriz,es ESP,"FW,MF",Athletic Club,es La Liga,38,1981,14.0,0.0,208.0,1.0,0.0,0.0,1.0,3.0,0.0,0.43,0.0,0.43,0.43,0.43,1.6,0.8,0.67,0.33,2019-2020,2.3,2.0,0.0,33.3,0.87,0.17,0.5,0.13,-0.6,0.2,32.0,57.0,56.1,419.0,68.0,21.0,32.0,65.6,6.0,13.0,46.2,2.0,5.0,40.0,0.0,4.0,0.0,0.0,6.0,56.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.87,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,81.0,2.0,4.0,36.0,42.0,13.0,80.0,37.0,2.0,1.0,2.0,68.0,7.0,2.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,2.0,21.0,10.0,67.7
Lumor Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22,1996,23.0,20.0,1805.0,1.0,0.0,0.0,0.0,5.0,1.0,0.05,0.0,0.05,0.05,0.05,0.3,0.3,0.01,0.01,2019-2020,20.1,2.0,0.0,14.3,0.1,0.07,0.5,0.02,0.7,0.7,691.0,972.0,71.1,10575.0,4948.0,376.0,435.0,86.4,251.0,340.0,73.8,38.0,108.0,35.2,16.0,44.0,23.0,12.0,69.0,739.0,225.0,10.0,0.0,4.0,81.0,0.0,0.0,0.0,0.0,215.0,8.0,42.0,34.0,1.7,24.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,21.0,19.0,9.0,3.0,13.0,2.0,11.0,21.0,66.0,1.0,1187.0,77.0,391.0,502.0,314.0,12.0,1187.0,583.0,60.0,40.0,6.0,583.0,27.0,10.0,1.0,13.0,9.0,0.0,0.0,0.0,0.0,118.0,17.0,16.0,51.5
Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,23,1996,31.0,23.0,2099.0,1.0,1.0,0.0,0.0,5.0,1.0,0.04,0.04,0.09,0.04,0.09,0.8,0.8,0.03,0.03,2019-2020,23.3,1.0,0.0,33.3,0.04,0.33,1.0,0.26,0.2,0.2,714.0,1028.0,69.5,11577.0,5419.0,374.0,449.0,83.3,268.0,375.0,71.5,52.0,128.0,40.6,10.0,37.0,12.0,5.0,56.0,770.0,254.0,14.0,1.0,3.0,33.0,1.0,0.0,1.0,0.0,239.0,4.0,39.0,25.0,1.07,18.0,2.0,0.0,2.0,3.0,0.13,3.0,0.0,0.0,0.0,0.0,55.0,30.0,32.0,18.0,5.0,19.0,7.0,12.0,18.0,48.0,0.0,1237.0,76.0,403.0,635.0,210.0,9.0,1237.0,587.0,26.0,21.0,2.0,596.0,24.0,13.0,0.0,33.0,19.0,1.0,0.0,1.0,0.0,125.0,26.0,27.0,49.1
Lucien Agoume,fr FRA,MF,Inter,it Serie A,17,2002,3.0,0.0,68.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-2020,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,38.0,92.1,619.0,208.0,14.0,14.0,100.0,17.0,19.0,89.5,4.0,4.0,100.0,1.0,5.0,2.0,1.0,7.0,38.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.65,2.0,0.0,0.0,0.0,1.0,1.32,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,45.0,0.0,8.0,25.0,12.0,0.0,45.0,33.0,1.0,0.0,0.0,30.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
Kevin Agudelo,co COL,"MF,FW",Fiorentina,it Serie A,20,1998,3.0,1.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.26,0.26,2019-2020,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.05,-0.2,-0.2,29.0,37.0,78.4,403.0,135.0,18.0,23.0,78.3,8.0,9.0,88.9,2.0,3.0,66.7,2.0,2.0,1.0,0.0,4.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,9.84,4.0,0.0,0.0,0.0,1.0,1.41,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,50.0,0.0,6.0,25.0,21.0,4.0,50.0,35.0,1.0,1.0,1.0,31.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0
Kevin Agudelo,co COL,"MF,FW",Genoa,it Serie A,20,1998,10.0,7.0,666.0,1.0,1.0,0.0,0.0,5.0,1.0,0.14,0.14,0.27,0.14,0.27,1.2,1.2,0.17,0.17,2019-2020,7.4,2.0,0.0,20.0,0.27,0.1,0.5,0.12,-0.2,-0.2,239.0,293.0,81.6,3277.0,893.0,143.0,161.0,88.8,70.0,80.0,87.5,12.0,18.0,66.7,12.0,21.0,5.0,0.0,41.0,292.0,1.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,32.0,4.33,24.0,0.0,0.0,1.0,2.0,0.27,1.0,0.0,0.0,0.0,1.0,23.0,14.0,9.0,12.0,2.0,12.0,1.0,11.0,6.0,2.0,0.0,387.0,7.0,73.0,195.0,130.0,18.0,387.0,264.0,39.0,23.0,6.0,271.0,15.0,15.0,1.0,20.0,11.0,1.0,0.0,1.0,0.0,30.0,3.0,6.0,33.3
Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,23,1996,11.0,11.0,957.0,1.0,0.0,0.0,0.0,2.0,0.0,0.09,0.0,0.09,0.09,0.09,0.3,0.3,0.03,0.03,2019-2020,10.6,1.0,1.0,25.0,0.09,0.25,1.0,0.08,0.7,0.7,492.0,597.0,82.4,10780.0,4411.0,160.0,171.0,93.6,239.0,269.0,88.8,90.0,143.0,62.9,0.0,23.0,0.0,0.0,27.0,578.0,17.0,13.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,4.0,0.38,3.0,1.0,0.0,0.0,1.0,0.09,1.0,0.0,0.0,0.0,0.0,13.0,9.0,7.0,5.0,1.0,11.0,11.0,0.0,18.0,54.0,0.0,717.0,75.0,426.0,284.0,11.0,8.0,717.0,352.0,0.0,0.0,0.0,467.0,4.0,3.0,0.0,13.0,6.0,0.0,0.0,0.0,0.0,55.0,43.0,13.0,76.8
Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,31,1988,24.0,18.0,1452.0,16.0,3.0,2.0,3.0,1.0,0.0,0.99,0.19,1.18,0.87,1.05,14.5,12.1,0.9,0.75,2019-2020,16.1,24.0,0.0,32.9,1.49,0.19,0.58,0.17,1.5,1.9,286.0,365.0,78.4,3050.0,674.0,186.0,218.0,85.3,60.0,76.0,78.9,2.0,5.0,40.0,18.0,15.0,19.0,0.0,34.0,347.0,17.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,57.0,3.53,31.0,0.0,12.0,5.0,7.0,0.43,3.0,0.0,2.0,1.0,0.0,7.0,4.0,0.0,4.0,3.0,9.0,1.0,8.0,3.0,2.0,0.0,544.0,4.0,17.0,178.0,356.0,131.0,541.0,405.0,35.0,26.0,23.0,436.0,34.0,30.0,0.0,9.0,9.0,6.0,2.0,0.0,0.0,37.0,3.0,12.0,20.0
